lekid,x,y,area,per_miss,per_zero,mean_count,sd_count,min_count,max_count,len_road,mean_ppt,mean_sage,mean_herb,mean_nest
G-Carter Creek,-1215682.742,2162077.63, G,6.25,68.75,2.766666667,4.256300266,0,14,94262.7185,23.545454,8.149357,17.021476,0.080164
G-Cattail,-1155833.105,2117433.905, G,28.125,68.75,8.086956522,10.94163459,0,34,98977.46672,21.287233,2.990621,3.770067,0.028055
G-Chicken Springs Basin,-1055490.3,2090755.174, G,28.125,50,19.08695652,17.02648483,0,47,86467.96774,26.375,8.387316,8.664999,0.154023
G-Chindgren,-1106106.018,2172964.883, G,68.75,71.875,52.8,37.29104748,0,97,111694.231,19,9.978728,15.478208,0.24516
G-Church Butte 1,-1171646.407,2143258.941, G,25,81.25,3.708333333,8.720187307,0,39,128886.6821,19.494504,5.456605,7.929388,0.080344
G-Clear Creek Ridge,-1210086.042,2178137.934, G,0,46.875,10.125,12.39862115,0,41,148496.0989,23.391304,8.149277,15.505444,0.056427
G-Collett Basin,-1224789.728,2180451.293, G,3.125,40.625,32.48387097,33.13494728,0,99,135022.0786,24.576086,14.201946,16.603473,0.362281
G-Continental Divide,-1050324.262,2162457.33, G,6.25,62.5,6.166666667,10.29925787,0,39,167793.2118,17.923076,8.613889,8.401118,0.158965
G-Cottonwood Creek,-1235701.013,2172166.575, G,0,75,2.6875,5.561605129,0,19,146055.1237,24.2,16.619781,17.730682,0.578247
G-County Line,-1087683.414,2218268.831, G,68.75,68.75,22.4,14.73619882,4,48,189205.7217,21,10.986054,16.082641,0.241297
G-County Rd 4,-1134306.134,2163726.513, G,6.25,75,6.433333333,12.58812613,0,46,98975.00822,18.063829,5.407191,7.3027,0.036845
G-County Rd 4 West,-1136181.039,2162976.584, G,68.75,75,7.3,6.395310782,0,20,100259.6424,18.290323,4.944789,6.790727,0.038015
G-Craven Reservoir 1,-1183217.871,2184102.278, G,0,87.5,6.1875,18.27820401,0,82,153793.4481,22.483871,9.991346,13.073351,0.125012
G-Craven Reservoir 2,-1183297.348,2183604.747, G,0,100,0,0,0,0,154585.2609,22.433332,9.988957,13.255956,0.135288
G-Crockers Point,-1206567.323,2161501.136, G,0,9.375,40,28.63113577,0,117,132252.3589,22.644443,10.084167,17.032865,0.143941
