ID,type,case,year,datum,utm_zone,x,y,w_up,SageHgtSD,Bare,Herb,Sage,Shrub,Rough200m,FenceDist,PowerDist
48,0,FALSE,2016,NAD83,13,394991.8323,4907408.071,1000,7.006044865,36.13050842,28.31827927,12.9778986,15.43747044,111.8426437,542.242061,2184.069012
49,0,FALSE,2016,NAD83,13,398837.8287,4914944.843,1000,8.863516808,35.61024857,27.83798409,13.6358633,17.78391075,275.5088501,788.9767494,9760.443639
50,0,FALSE,2016,NAD83,13,396741.4251,4910750.069,1000,9.878436089,39.81604767,26.37522697,13.41343975,15.60646629,466.3696899,143.879206,1452.175045
51,0,FALSE,2016,NAD83,13,399051.2612,4917308.11,1000,10.07087803,28.67973137,31.73035812,14.59395599,17.96531487,277.9946594,34.47646218,10175.34603
52,0,FALSE,2016,NAD83,13,395662.062,4917114.625,1000,15.42606163,45.96033478,24.58487511,11.38504791,14.20152378,298.930481,266.0251225,8711.326513
53,0,FALSE,2016,NAD83,13,381242.6206,4912180.613,1000,13.19688511,38.2637291,29.36936569,10.0428381,12.28011417,205.3297882,1044.670221,3085.842575
54,0,FALSE,2016,NAD83,13,401022.8891,4908720.832,1000,10.20233345,31.79860878,27.18721199,17.07718086,19.84974861,153.1776428,128.8916385,5629.546443
55,0,FALSE,2016,NAD83,13,389227.8193,4921260.838,1000,12.21182919,43.89951706,25.59564781,12.41570663,14.03179264,260.8392334,274.6598564,5605.691236
56,0,FALSE,2016,NAD83,13,396379.7508,4922228.588,1000,9.369645119,35.88235855,31.90232849,12.38454056,13.79746342,46.772686,25.52353782,347.1515909
57,0,FALSE,2016,NAD83,13,386775.7879,4915403.95,1000,16.47436333,58.91801453,20.94452286,6.745704651,8.294879913,200.8000336,152.0722701,2982.989249
58,0,FALSE,2016,NAD83,13,389990.6911,4900505.004,1000,12.81701756,42.62250137,28.31994629,10.32258511,13.31868553,124.5739288,825.8379691,6445.443477
59,0,FALSE,2016,NAD83,13,390388.16,4905251.059,1000,11.60013008,50.09740448,25.45612144,9.312541008,10.97092247,99.01828766,975.9668736,1395.957558
60,0,FALSE,2016,NAD83,13,389972.8456,4908481.197,1000,15.21200943,49.39951706,22.71481514,10.31890583,12.95560074,152.0523682,950.0098659,8983.957093
61,0,FALSE,2016,NAD83,13,392054.7141,4912407.141,1000,9.391555786,41.60505676,26.58130836,11.84168243,13.59362602,110.136795,697.1202848,8574.239787
62,0,FALSE,2016,NAD83,13,391071.0964,4902231.363,1000,14.12822628,49.14831543,23.96281052,10.05126286,11.88645458,277.2658081,651.1083615,1230.410731
63,0,FALSE,2016,NAD83,13,382196.8171,4919764.359,1000,9.411750793,33.93843842,29.63824844,12.48903847,15.31458855,177.7647247,661.5542446,7335.418595
64,0,FALSE,2016,NAD83,13,387714.5208,4915443.581,1000,16.82774925,59.35588455,20.0489254,7.041954517,8.067667007,272.6246948,357.6974832,2432.615576
65,0,FALSE,2016,NAD83,13,393571.7283,4916893.665,1000,11.46193218,50.998806,22.25264931,11.33424377,12.55545425,141.369751,365.235908,4015.73577
66,0,FALSE,2016,NAD83,13,393255.4396,4902072.216,1000,7.398535728,47.12275314,24.47254753,11.21150875,12.53084087,136.7133789,338.8916385,4777.299749
67,0,FALSE,2016,NAD83,13,390793.5151,4920140.855,1000,7.394822121,38.63996887,31.23979187,10.22574902,11.61523628,120.898201,893.0366116,74.44447802
68,0,FALSE,2016,NAD83,13,394729.1456,4902567.977,1000,8.78058815,36.07395935,28.12722969,14.02301598,16.45162582,111.2120285,1071.108362,9631.212685
69,0,FALSE,2016,NAD83,13,391869.266,4924120.768,1000,15.87170315,41.1554184,29.18939972,9.597694397,12.66477585,387.5020447,374.2471847,7923.463274
70,0,FALSE,2016,NAD83,13,392977.4812,4915975.948,1000,13.93994427,44.94118881,31.37565231,7.184423923,10.34693241,102.6267776,555.7842132,468.070933
