"lekid","x","y","man_area","per_miss","per_zero","mean_count","sd_count","min_count","max_count","mean_rugg","length_road","count_OG","mean_ppt","sd_ppt","mean_sb","sd_sb","mean_herb","sd_herb","mean_nest","sd_nest"
"D-North Antelope",-1156607.47836347,2282408.51542313," D",53.125,56.25,52.6,41.4087637377127,0,132,0.004915,179647.4273,1,28.881719,0.982091,15.88467,8.045096,19.698711,15.637387,0.469482,0.309199
"D-North Luman Ridge",-1135054.71620035,2281018.89073433," D",71.875,78.125,13.2222222222222,14.2370799128348,0,38,0.003102,165795.2865,1,24.516483,0.856297,10.620522,7.083761,20.509874,15.333416,0.142089,0.166554
"D-Onion Creek",-1146738.23071782,2291353.27787694," D",25,84.375,3.45833333333333,10.5870271997165,0,50,0.003188,181830.7283,0,27.123596,0.329119,12.99303,7.106548,21.157396,14.44421,0.435359,0.254297
"D-Prairie Dog",-1124847.19519636,2247827.34148296," D",56.25,71.875,15.8571428571429,15.989694483333,0,41,0.002395,162198.4485,5,23.548387,0.51881,7.93875,4.826158,14.382532,6.607671,0.184118,0.124817
"D-Rifle Range",-1160068.75784782,2260201.45667312," D",65.625,65.625,28.4545454545455,16.5006886908616,3,54,0.004539,287373.1343,67,22.615385,1.013851,11.956413,7.253699,19.510324,13.926048,0.246636,0.20021
"D-Ryegrass Draw",-1149899.41620325,2295029.4598316," D",31.25,43.75,43.0454545454545,43.4658894972086,0,147,0.00544,228309.3478,0,28.279569,0.931706,16.15554,6.141401,19.560949,10.926805,0.541799,0.216475
"D-Ryegrass Draw South",-1151043.39853645,2294968.35770393," D",31.25,53.125,25.3181818181818,24.0225813680465,0,79,0.006326,240168.2019,0,28.684782,0.883783,17.702676,4.069617,17.300815,6.44101,0.594594,0.149191
"D-Ryegrass Reservoir",-1143715.83675016,2287158.89184823," D",25,75,3.33333333333333,7.08130832094126,0,29,0.004592,214670.7621,0,26.404254,0.733965,15.103058,4.920734,14.876466,7.841969,0.474324,0.185153
"D-Ryegrass Road Fork",-1145978.47178178,2289814.90772091," D",31.25,56.25,18.6818181818182,17.8842478272451,0,65,0.003736,190312.1571,0,26.957895,0.321699,13.630062,6.340012,18.370981,12.360928,0.455879,0.226449
"D-Sandy Flat Well",-1092196.68405814,2253728.9209622," D",37.5,53.125,57.45,43.17708334656,0,160,0.001574,170709.9071,0,25.053764,0.22555,14.518855,4.973028,18.072257,10.386943,0.378822,0.206836
